Country,Population,Area,Year,Euro
Austria,8956532,83879,1995,Yes
Belgium,11697557,30689,1958,Yes
Bulgaria,6875039,110994,2007,No
Croatia,3871833,56594,2013,Yes
Cyprus,1251488,9251,2004,Yes
Czech Republic,10693939,78871,2004,No
Denmark,5869410,42933,1973,No
Estonia,1330068,45227,2004,Yes
Finland,5533793,338424,1995,Yes
France,67848156,551695,1958,Yes
Germany,83190556,357386,1958,Yes
Greece,10224887,131957,1981,Yes
Hungary,9578354,93028,2004,No
Ireland,5162535,70273,1973,Yes
Italy,59030133,301340,1958,Yes
Latvia,1848837,64589,2004,Yes
Lithuania,2739100,65300,2004,Yes
Luxembourg,660809,2586,1958,Yes
Malta,514564,316,2004,Yes
Netherlands,17684459,41543,1958,Yes
Poland,37627378,312696,2004,No
Portugal,10067336,92090,1986,Yes
Romania,18571344,238397,2007,No
Slovakia,5432157,49035,2004,Yes
Slovenia,2110877,20273,2004,Yes
Spain,47835801,505992,1986,Yes
Sweden,10511945,450295,1995,No
